1786230894.469849400	0
1786230894.830257300	0
1786230895.221642300	0
1786230895.577565000	0
1786230895.952968700	0
1786230896.382723500	0
1786230896.733029400	0
1786230897.126935600	0
1786230897.525992800	0
1786230897.947178800	0
1786230898.326668800	0
1786230898.736394500	0
1786230899.153754600	0
1786230899.569726300	0
1786230899.970095500	0
1786230900.360436800	0
1786230900.702598800	0
1786230901.063684300	0
1786230901.446366300	0
1786230901.850718600	0
1786230902.291596400	-1920
1786230902.732285000	-1920
1786230903.106852900	-1883
1786230903.617829700	-1883
1786230904.114802500	-307
1786230904.559028300	-307
1786230904.889872900	-307
1786230905.251767200	0
1786230905.598312300	0
1786230905.950897500	0
1786230906.309624400	0
1786230906.725140400	0
1786230907.069958700	0
1786230907.418990500	0
1786230907.797814300	0
1786230908.138348000	0
1786230908.480444900	0
1786230908.806597700	0
1786230909.193094000	0
1786230909.534738800	0
1786230909.888884100	0
1786230910.290134100	0
1786230910.644235100	0
1786230911.016110700	0
1786230911.346686200	0
1786230911.679678800	0
1786230912.034272000	0
1786230912.403056000	0
1786230912.748576400	0
1786230913.120516100	0
1786230913.483479300	0
